key,value,n,freq
Lectures 8-11,0-20%,34,0.19318181818181818
Lectures 8-11,21-40%,33,0.1875
Lectures 8-11,41-60%,47,0.26704545454545453
Lectures 8-11,61-80%,42,0.23863636363636365
Lectures 8-11,81-100%,20,0.11363636363636363
Lectures 12-18,0-20%,54,0.1323529411764706
Lectures 12-18,21-40%,104,0.2549019607843137
Lectures 12-18,41-60%,107,0.2622549019607843
Lectures 12-18,61-80%,93,0.22794117647058823
Lectures 12-18,81-100%,50,0.12254901960784313
Lectures 1-7,0-20%,39,0.14130434782608695
Lectures 1-7,21-40%,82,0.2971014492753623
Lectures 1-7,41-60%,55,0.19927536231884058
Lectures 1-7,61-80%,42,0.15217391304347827
Lectures 1-7,81-100%,58,0.21014492753623187
