key,value,n,freq
Lectures 8-11,0-20%,15,0.13761467889908258
Lectures 8-11,21-40%,16,0.14678899082568808
Lectures 8-11,41-60%,34,0.3119266055045872
Lectures 8-11,61-80%,32,0.29357798165137616
Lectures 8-11,81-100%,12,0.11009174311926606
Lectures 12-18,0-20%,10,0.09174311926605505
Lectures 12-18,21-40%,25,0.22935779816513763
Lectures 12-18,41-60%,24,0.22018348623853212
Lectures 12-18,61-80%,32,0.29357798165137616
Lectures 12-18,81-100%,18,0.1651376146788991
Lectures 1-7,0-20%,12,0.11009174311926606
Lectures 1-7,21-40%,28,0.25688073394495414
Lectures 1-7,41-60%,23,0.21100917431192662
Lectures 1-7,61-80%,26,0.23853211009174313
Lectures 1-7,81-100%,20,0.1834862385321101
