Timestamp,What Happened and When? (Feel free to include incidents that happened to you or to others close to you in your program/department/campus/lab/disciplinary group),What Was Your Status When the Incident(s) Happened?,"What Was the Status of the Perpetrator(s) (Particularly, relative to you)?",What Type of Institution Was It?,(Optional) What Was The Name of the Institution(s),Your Field/Discipline,The Gender of the Harasser,Institutional Responses to the Harassment (If Any),Institutional/Career Consequences for the Harasser (If Any),The Impact of the Harassment on Your Career,The Impact of the Harassment on Your Mental Health,The Impact of the Harassment on Your Life Choices/Trajectory,"Other Comments You'd Like to Add  (If you'd like me to know your name or the name of the perpetrator, please email me privately at gettenure@gmail.com. The purpose of this survey is to gather anonymous information to give a sense of scale.  As always, I will publish no information without explicit permission and extensive prior discussion)",What Was the Gender of the Harasser?
12/1/2017 14:59:39,"There were rumors (unsubstantiated, just gossip) that my advisor had an affair with one of his female graduate students before I was a student here. An older grad student who supposedly knew of the affair told me I was a “typical _____ student” because I was a woman, conventionally somewhat attractive, and young (22 when I came into my PhD program). ",22,"Senior grad student, someone who was about to graduate ",Other R1,,History,,None; I didn’t realize how insulting it was until later ,None,Just self doubt (yay for impostor syndrome!),See above,Makes me more aware of my status and position in power relationships ,,Male
12/1/2017 15:01:54,"When I was in grad school a male faculty member ""joked"" to a group of three female PhD students (myself included) who had just mentioned how stressed we were about comps, that ""all [we] had to do was wear tight, low-cut dresses and [we'd be fine.""  Several years later a male faculty member stared at my breasts repeatedly, whenever I passed him in the hallway, etc, to the point where I had to sit on the same side of the table as him during meetings so as to not keep catching him doing it when I was on the opposite side",PhD student/Assistant Professor,"At least Associate, if not Full at that point","More Than One Institution (feel free to elaborate in ""Comments"")",York University in Toronto and University of Lethbridge in Lethbridge,History,,None,None,"As a PhD student I learned that when senior men want to harass you and make disgusting ""jokes"" there was nothing I could do about it, and was reminded of that lesson when the U of L faculty association said it could do nothing about the man who was harassing me.  It was a powerful lesson about not really belonging in the academy.","It is one more thing I have to think about, worry about, feel unwelcome about, as a woman in the academy.  ",,,Male
12/1/2017 15:02:01,"A senior colleague made overt sexual comments to me, including describing himself naked and having sex ",Assistant Professor ,Full Professor,"More Than One Institution (feel free to elaborate in ""Comments"")",,History ,,None,None,The harasser also later plagiarized my work. ,,,,Male
12/1/2017 15:04:24,Kissed on the mouth in front of entire board of a prize committee at dinner following conference (I was the one receiving the prize),Visiting Assistant Professor,They were a tenured prof at another university ,"More Than One Institution (feel free to elaborate in ""Comments"")",,History,,None,None,No longer wished to be part of that professional association; it happened in front of the most important person in my field of study who laughed as the incident occurred so I no longer sought his mentorship,"I was mostly annoyed, not scarred, but it made me feel like the professors in my male-dominated area of study mainly saw me as a piece of ass, not an emerging scholar ","I left academia, not because of this incident alone",I actually do not know the name of the person who did this to me - he just walked up in the middle of me taking my leave from a dinner and grabbed me ,Male
12/1/2017 15:16:35,"Stalked, harassed, threatened by a colleague who also threatened the safety of my toddler daughter. ",Adjunct instructor with half time appointment in program administration,same. He was a colleague with identical appointment,Other R1,University of Nebraska,rhetoric and composition,,after I filed an EEOC claim I was placed under the direct supervision of the harasser. Informed that if I complained I would be fired. Wound up fired anyway (as I assumed would happen) ,None. ,"I was subsequently RIF'd and did not work for 18 months. Ultimately settled for another adjunct position at a different institution. Based on my salary at the time of dismissal,lost income after fifteen years is ~$500,000","Impossible to assess. Worst thing that has ever happened to me ( worse than divorce, worse than breast cancer). I went down fighting for respect and ideals. ","Again, inestimable. Entirely undid my career to the extent that it took five years to regain my footing, restart research, restore faith in the professoriate and myself. ",,Male
12/1/2017 15:18:58,An email detailing sadomasochistic acts being done to me.,Undergrad TA,Random student,R2,UM-St. Louis,Physics,,“You don’t want to spoil this nice young man’s life do you?  It was just a joke”,"He was told to go back to his home institution, an R1.",NA,Random emails make me nervous.,,,Male
12/1/2017 15:20:08,Professor of graduate course made sexual jokes about students in class; forced students to answer questions about sexual experiences as “fun ice-breakers.”,Graduate student ,Professor ,Other R1,,,,Told I could pursue sexual harassment charges formally through the university but the professor would know my identity. Chose not to for fear of career.,None ,,,,,Male
12/1/2017 15:21:54,"It did not happen to me, but was passed Down by femal grad students",Grad student,Tenured Professor and on degree committee,Other R1,Iowa State University,Physics,,NA,NA,I did not go to him for help when I struggled and as a consequence failed the qualifier ,,Impacted my ability to get help and be successful,*** was “grabby” and inappropriate ,Male
12/1/2017 15:24:07,Sexual harassment (unwanted touching and comments about pregnancy and pregnant body),ABD,Department Chair,Other R1,,Sociology,,"Dean told me to ""grow a thicker skin""",None,None of job outcomes; shaped my view of academia,Made pregnancy and degree completion very difficult,,,Male
12/1/2017 15:24:28,Male students locked me in a supply closet.,Instructor,Students ,Other Type of School,Western Iowa Tech CC,Science,,Never told,I passed them all.  ,I quit teaching and went back to grad school.,I have PTSD from it.  ,I am never teaching again.,,Male
